chembl_id,organism,pref_name,chembl_id,pchembl_value,canonical_smiles
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL344720,4.28,Cn1c(NS(=O)(=O)c2ccccc2)nc3N(CC4CC4)C(=O)N(CC5CC5)C(=O)c13
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL144978,4.27,COc1ccc(cc1)S(=O)(=O)Nc2nc3N(CC4CC4)C(=O)N(CC5CC5)C(=O)c3n2C
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL144656,4.42,Nc1nc2N(CC3CC3)C(=O)N(CC4CC4)C(=O)c2n1S(=O)(=O)c5ccc(cc5)[N+](=O)[O-]
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL341866,4.5,CS(=O)(=O)n1c(N)nc2N(CC3CC3)C(=O)N(CC4CC4)C(=O)c12
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL142922,4.43,COc1ccc(cc1)S(=O)(=O)Nc2nc3N(CC4CC4)C(=O)N(CC5CC5)C(=O)c3n2Cc6cc(OC)c(OC)c(OC)c6
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL357428,4.47,Cn1c(nc2N(CC3CC3)C(=O)N(CC4CC4)C(=O)c12)N(S(=O)(=O)c5ccc(cc5)[N+](=O)[O-])S(=O)(=O)c6ccc(cc6)[N+](=O)[O-]
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL356138,4.43,Nc1nc2N(CC3CC3)C(=O)N(CC4CC4)C(=O)c2n1S(=O)(=O)c5cccc(c5)C(F)(F)F
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL145515,4.25,CN(C)\C=N\c1nc2C(=O)N(CC3CC3)C(=O)N(CC4CC4)c2[nH]1
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL439809,4.42,CC(C)S(=O)(=O)n1c(N)nc2N(CC3CC3)C(=O)N(CC4CC4)C(=O)c12
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL356323,4.15,Nc1nc2C(=O)N(CC3CC3)C(=O)N(CC4CC4)c2[nH]1
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL144047,4.4,COc1ccc(OC)c(c1)S(=O)(=O)n2c(N)nc3N(CC4CC4)C(=O)N(CC5CC5)C(=O)c23
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL146165,4.17,COc1ccc(cc1)S(=O)(=O)Nc2nc3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3[nH]2
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL369431,4.18,Oc1nnc(c2ccccc2)c3nc(Br)cn13
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL368322,4.25,Oc1nnc(c2ccccc2)c3nc(Cl)c(Cl)n13
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL124539,4.5,COc1cc2C(=O)N(CCc3ccc4OCOc4c3)C=Nc2c(OC)c1OC
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL341475,4.5,COc1cc2c(NCc3ccncc3)ncnc2c(OC)c1OC
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL182703,4.16,Clc1cc(cc2c1NC(=O)NC23CCCCC3)c4ccccc4
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL361469,4.17,Clc1cc(cc2c1NC(=O)NC23CCCCC3)c4ccccn4
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL185370,4.28,CN1CCN(CC1)C(=O)c2cccc(c2)c3cc(Cl)c4NC(=O)NC5(CCCCC5)c4c3
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL359890,4.1,CCOC(=O)c1oc(COc2ccc(Cl)c3NC(=O)NC4(CCCCC4)c23)cc1
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL360627,4.22,OS(=O)(=O)CCCOc1ccc(Cl)c2NC(=O)NC3(CCCCC3)c12
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL185275,4.13,NCCOc1ccc(Cl)c2NC(=O)NC3(CCCCC3)c12
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL184903,4.13,CN(C)CCOc1ccc(Cl)c2NC(=O)NC3(CCCCC3)c12
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL185108,4.01,CN(C)CCCOc1ccc(Cl)c2NC(=O)NC3(CCCCC3)c12
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL183156,4.39,CN1N=C(S/C/1=N\c2ccc(cc2)C(=O)O)c3ccc(Cl)cc3
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL497654,4.34,COc1ccc(cc1)C2=C(O)C(=O)c3c(O)cc4OC(C)(C)CCc4c3O2
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL514277,4.4,CCCC(O)(c1ccc(Oc2ccccn2)c(OC)c1)c3cnc4ccccc4c3
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL1079948,4.06,CCCCCC(O)c1cc(C)ccc1\C=C\CC(=O)O
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL1095583,4.13,CCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](N2C1=S)c5ccccc5Br
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL1097585,4.06,CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@@H]2c5ccccc5Br)C1=O
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL1094588,4.39,CCN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@@H]2c5ccccc5Br)C1=O
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL1094589,4.5,CCN1CC(=O)N2[C@@H](Cc3c([nH]c4ccccc34)[C@@H]2c5ccccc5Br)C1=O
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL1779335,4.36,CC(C)c1nn2ccccc2c1C3=NNC(=O)CC3C
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL1779427,4.11,CC(C)c1nn2ccccc2c1C3=NNC(=O)CC3
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL1777830,4.1,CC(C)c1nn2ccccc2c1C3=NNC(=O)C=C3
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL1779440,4.19,CC(C)c1nn2ccccc2c1c3ccc(Cl)nn3
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL3972355,4.37,CCN(CC)C(=O)c1cc(nc2c1c(C)nn2c3ccccc3C)c4cccs4
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL118,4.44,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL4100407,4,CN(C)C(=O)N1C(=O)C(=O)c2cc(C)ccc12
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL4085450,4.3,O=C(N1C(=O)C(=O)c2cc(CN3CCCCC3)ccc12)c4ccccc4
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL4094543,4.04,Cc1ccc2N(C(=O)c3ccccc3)C(=O)Cc2c1
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL4062800,4,COc1ccc(NCc2ccc3N(C(=O)c4ccccc4)C(=O)C(=O)c3c2)cc1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL422095,4.25,Cc1nc(N)nc(N)c1c2cccc3ccccc23
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL22,4.47,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL134383,4.22,CCN1C=C(C)C=C2C(=O)NC(N)N=C12
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL134466,4.42,CCN1C=CC=C2C(=O)NC(N)N=C12
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL136042,4.36,CC(C)N1C=C(C)C=C2C(=O)NC(N)N=C12
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL135622,4.24,CN1C=CC=C2C(=O)NC(N)N=C12
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL134383,4.13,CCN1C=C(C)C=C2C(=O)NC(N)N=C12
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL134466,4.5,CCN1C=CC=C2C(=O)NC(N)N=C12
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL120783,4.48,Nc1nc(N)c2c(Sc3ccc(cc3)C#N)cccc2n1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL328827,4.16,Nc1nc(N)c2c(Sc3ccc(cc3)N4CCOCC4)cccc2n1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL78104,4,COc1ccc2C(CN(Cc3cnc(N)nc3N)Cc2c1)c4cccc(c4)[N+](=O)[O-]
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL150835,4.51,COCc1c(CNc2cc(OC)ccc2OC)cnc3nc(N)nc(N)c13
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL33208,4.12,COc1cc(CNc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL421959,4.5,Nc1nc(N)c2cc3CN(Cc4ccccc4)CCc3nc2n1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL328827,4.16,Nc1nc(N)c2c(Sc3ccc(cc3)N4CCOCC4)cccc2n1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL33208,4.12,COc1cc(CNc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL2092925,4.38,C\C(=C/c1coc2nc(N)nc(N)c12)\c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL433059,4.18,COc1cc(cc(OC)c1OC)N(CC#C)Cc2ccc3ncnc(O)c3c2
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL62675,4.18,Nc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)C#N)ccc2n1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL64215,4,CC(=O)c1ccc(cc1)N(CC#C)Cc2ccc3ncnc(O)c3c2
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL62599,4.43,CC(=O)c1ccc(cc1)N(CC#C)Cc2ccc3nc(N)nc(O)c3c2
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL417562,4.14,NC(=O)c1ccc(cc1)N(CC#C)Cc2ccc3nc(N)nc(O)c3c2
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL436184,4.51,CN1C=C(C)C=C2C(=O)NC(N)N=C12
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL134466,4.22,CCN1C=CC=C2C(=O)NC(N)N=C12
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL136042,4.22,CC(C)N1C=C(C)C=C2C(=O)NC(N)N=C12
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL133360,4.47,CC(C)N1C=CC=C2C(=O)NC(N)N=C12
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL225072,4.18,NC1=NC(=O)c2c(CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c[nH]c2N1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL303171,4.38,Oc1ccc(cc1F)C2(OC(=O)c3cccc4cccc2c34)c5ccc(O)c(F)c5
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL385296,4.03,Oc1ccc(cc1I)C2(OC(=O)c3cccc4cccc2c34)c5ccc(O)c(I)c5
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL217760,4.46,Oc1ccc(cc1Cl)C2(OC(=O)c3c2ccc4ccccc34)c5ccc(O)c(Cl)c5
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL214872,4.16,Oc1c(Br)cc(cc1Br)C2(OC(=O)c3ccc4ccccc4c23)c5cc(Br)c(O)c(Br)c5
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL215133,4.48,Oc1ccc(cc1Br)C2(OC(=O)c3ccc4ccccc4c23)c5ccc(O)c(Br)c5
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL386442,4.46,Oc1ccc(cc1)C2(OC(=O)c3c2ccc4ccccc34)c5ccc(O)cc5
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL227064,4.5,CCc1c(Sc2c(C)cccc2C)[nH]c3nc(N)nc(N)c13
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL401073,4.48,Cc1cc2N=C(N)NC(=O)c2n1Cc3ccc(cc3)[N+](=O)[O-]
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL250231,4.01,Nc1nc(N)c2c(OCc3cccc(Cl)c3)cccc2n1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL251430,4.26,Nc1nc(N)c2c(OCC3CCN(Cc4cccc(Cl)c4)CC3)cccc2n1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL516891,4.48,CCCc1c(Sc2ccccc2)[nH]c3nc(N)nc(N)c13
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL604879,4.48,CCCCC(=CC1=COC2=NC(=N)NC(=C12)N)c3ccccc3OC
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL594339,4.38,CCC(C)C(Cc1coc2nc(N)nc(N)c12)c3ccccc3OC
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL606362,4.2,COc1ccccc1C(CC(C)C)Cc2coc3nc(N)nc(N)c23
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL593154,4.06,COc1ccccc1C(=CC2=COC3=NC(=N)NC(=C23)N)CC(C)C
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL594790,4.03,CCCCC(Cc1coc2nc(N)nc(N)c12)c3ccccc3OC
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL2012918,4.3,Nc1ncc(Cn2cc(CN3CCN(CC3)c4nc5N(C=C(C(=O)O)C(=O)c5cc4F)C6CC6)nn2)c(N)n1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL22,4.49,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL3228459,4.24,Nc1nc(O)c2N=C(COc2n1)c3ccccc3
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL3746597,4.37,Cc1nc2cc(Nc3nc(Nc4ccc(F)cc4)nc(n3)c5ccc(Cl)cc5)ccc2n1Cc6ccccc6
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL3752202,4.38,Cc1cccc(Oc2ccc(cc2)c3nc(N)nc(N)n3)c1C
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL3785981,4.25,Cl.CC1(C)N=C(N)N=C(N)N1c2ccc(cc2)C(=O)\C=C\c3ccccc3
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL22,4.34,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL255019,4.42,Nc1nc(N)c2c(COc3cccc(Cl)c3)cccc2n1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL4077061,4.28,Nc1nc(N)c2c(COc3cc(F)cc(c3)C#N)cccc2n1
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL22,4.32,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL747,4.37,CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)cc2
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL301845,4,CC[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)C)C(=O)N(C)CCCC2CCCCC2
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL343050,4.14,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)C)C(=O)N[C@@H](C)C(=O)NCCc2ccccc2
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL137653,4.02,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)C)C(C)C
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL539942,4.33,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)C)C(=O)N[C@H](C)C(=O)NCCc2ccccc2
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL80030,4.3,CN(C)CC(=C)C(=O)c1ccc(OS(=O)(=O)c2ccc(cc2)C(=O)O)cc1
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL552634,4.16,Cl.CN(C)CC(=C)C(=O)c1ccc(OS(=O)(=O)c2ccc(cc2)C(=O)N(C)C)cc1
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL55683,4.21,[O-][N+](=O)c1cccc(Nc2nccc(n2)c3ccncc3)c1
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL56081,4.47,[O-][N+](=O)c1cccc(Nc2nccc(n2)c3cccnc3)c1
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL438610,4.24,O=C(Nc1ccccc1)Nc2nnc(Cc3ccccc3)s2
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL201511,4.03,COc1cc(cc(OC)c1OC)C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL514511,4.51,CN(C(=O)c1ccc(cc1)C(=O)Nc2ccccc2N)c3cccc(Nc4nccc(n4)c5cccnc5)c3
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL515258,4.5,Cc1ccc(NC(=O)c2ccc(nc2)C(=O)Nc3ccccc3N)cc1Nc4ncc(cn4)c5cccnc5
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL515432,4.47,Cc1ccc(NC(=O)c2ccc(cc2)C(=O)Nc3ccccc3N)cc1Nc4ncc(s4)c5cccnc5
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL474046,4.46,Cc1ccc(NC(=O)c2ccc(nc2)C(=O)Nc3ccccc3N)cc1Nc4ncc(s4)c5cccnc5
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL474015,4.41,Nc1ccccc1NC(=O)c2ccc(cc2)C(=O)Nc3cccc(Nc4ncc(s4)c5cccnc5)c3
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL550623,4.02,CNc1ncnc2c1ncn2CCc3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL564575,4.13,Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1\C=C\n3cnc4c(NC5CC5)ncnc34
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL565084,4.4,Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1\C=C\n3cnc4c(Nc5ccncn5)ncnc34
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL559069,4.21,Cc1ccc(NC(=O)Nc2cccc(c2)C(F)(F)F)cc1\C=C\n3cnc4c(NC5CC5)ncnc34
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL564235,4.43,Cc1ccc(cc1\C=C\n2cnc3c(NC4CC4)ncnc23)C(=O)Nc5ccc(Cl)c(c5)C(F)(F)F
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL559628,4.23,Cc1ccc(cc1\C=C\n2cnc3c(NC4CC4)ncnc23)C(=O)Nc5cccc(c5)C(C)(C)C
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL559702,4.22,CC(C)c1cccc(NC(=O)c2ccc(C)c(\C=C\n3cnc4c(NC5CC5)ncnc34)c2)c1
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL553695,4.14,Cc1ccc(cc1\C=C\n2cnc3c(NC4CC4)ncnc23)C(=O)Nc5cc(cc(c5)C(F)(F)F)N6CCOCC6
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1172147,4.22,Nc1nc(SCC(=O)c2ccc(Cl)cc2)c(C#N)c(c3ccsc3)c1C#N
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1172697,4.13,Fc1ccc(CSc2nc3CCCCc3c(c4cccs4)c2C#N)cc1
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1171912,4.14,N#Cc1c(SCc2ccccc2)nc3CCCCc3c1c4cccs4
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1242753,4.19,CCOc1cc(ccc1OC)c2nn(CCO)c3ncnc(N)c23
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1241583,4.3,CC(C)n1nc(c2cccc(CC#N)c2)c3c(N)ncnc13
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1241772,4.3,CC(C)n1nc(c2ccc(nc2)C#N)c3c(N)ncnc13
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1241390,4.5,CC(C)n1nc(c2cccnc2)c3c(N)ncnc13
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1241391,4.3,CC(C)n1nc(c2cncnc2)c3c(N)ncnc13
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1241862,4.3,CC(C)n1nc(c2ccc(C(=O)N)c(Cl)c2)c3c(N)ncnc13
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1242032,4.24,CC(C)n1nc(c2ccc(cc2)S(=O)(=O)N)c3c(N)ncnc13
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1242756,4,Cn1nc(c2ccc3ncccc3c2)c4c(N)ncnc14
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1241863,4.46,CC(C)n1nc(c2ccc3NC(=O)C=Cc3c2)c4c(N)ncnc14
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1241864,4,Nc1ncnc2c1c(nn2C3CCCC3)c4ccc5NC(=O)C=Cc5c4
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1242033,4.19,CC(C)n1nc(c2ccc3nccc(NC(=O)OC(C)(C)C)c3c2)c4c(N)ncnc14
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1242117,4,Cn1nc(c2ccc3OC=CC(=O)c3c2)c4c(N)ncnc14
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL1241684,4.3,CC(C)n1nc(c2cc3cc(C=O)ccc3s2)c4c(N)ncnc14
